ID,Budget,OriginLang,Popularity,ReleaseDate,Runtime,CatRuntime,IsEnOriginalLang,HasWebPage,HasPoster,HasTagline,ReleaseYear,ReleaseMonth,ReleaseDay,IsReleasedAfterJuly,NumOfCountriesReleased,IsLangUS,IsLangFR,IsLangRU,IsLangES,IsLangJA,NumOfKeywords,IsActor0Female,IsActor1Female,IsActor2Female,Actor0PrevRevenue,Actor1PrevRevenue,Actor2PrevRevenue,NumOfMoviesByDirector,NumOfMoviesByProducer,Genre,NumOfWorkersArt,NumOfWorkersCamera,NumOfWorkersCrew,NumOfWorkersMkup,NumOfWorkersDirecting,NumOfWorkersEditing,NumOfWorkersLiting,NumOfWorkersWriting,NumOfWorkersProd,NumOfWorkersSound,NumOfWorkersVisualEffects,Revenue
1,14000000,en,6.575392999999999,2015-02-20,93,Short,1,0,1,1,2015,2,20,0,1,1,0,0,0,0,4,0,0,0,116980662,219076518,121463226,2,3,Comedy,12,8,4,13,4,2,4,2,9,10,4,12314651
2,40000000,en,8.248895,2004-08-06,113,Medium,1,0,1,1,2004,8,6,1,1,1,0,0,0,0,4,1,1,0,165335153,165335153,309457509,4,1,Drama,0,1,0,0,1,1,0,1,4,1,0,95149435
3,3300000,en,64.29999000000001,2014-10-10,105,Medium,1,1,1,1,2014,10,10,1,1,1,0,0,0,0,12,0,0,1,48065672,231411584,NULL,0,3,Drama,5,4,9,5,3,6,1,1,18,9,3,13092000
4,1200000,hi,3.174936,2012-03-09,122,Large,0,1,1,0,2012,3,9,0,1,1,0,0,0,0,7,1,0,0,4100000,NULL,NULL,0,NULL,Drama,0,0,0,0,1,0,0,1,1,0,0,16000000
5,0,ko,1.1480700000000001,2009-02-05,118,Medium,0,0,1,0,2009,2,5,0,1,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,NULL,Action,0,0,0,0,1,0,0,1,0,0,0,3923970
6,8000000,en,0.743274,1987-08-06,83,Short,1,0,1,0,1987,8,6,1,0,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,NULL,Adventure,1,0,0,0,1,0,0,4,1,0,4,3261638
7,14000000,en,7.2864770000000005,2012-08-30,92,Short,1,1,1,1,2012,8,30,1,2,1,0,0,0,0,0,0,0,1,97838349,NULL,297138014,1,2,Horror,4,11,11,12,4,9,4,4,8,8,2,85446075
8,0,en,1.9490439999999998,2004-01-15,84,Short,1,0,1,1,2004,1,15,0,0,1,0,0,0,0,7,0,0,0,NULL,NULL,NULL,0,NULL,Doco,0,0,0,0,1,0,0,0,0,0,0,2586511
9,0,en,6.902423,1996-02-16,100,Medium,1,0,1,1,1996,2,16,0,1,1,0,0,0,0,4,0,0,1,152022101,NULL,NULL,0,3,Adventure,0,1,0,0,1,1,0,2,2,1,0,34327391
10,6000000,en,4.672036,2003-04-16,91,Short,1,0,1,1,2003,4,16,0,1,1,0,0,0,0,2,0,0,0,147845033,243240178,64256513,0,1,Comedy,3,1,0,1,1,1,0,2,2,0,0,18750246
